date,pm25,o3,no2,so2,co
2020-09-21,34.0,19.0,12.0,1.0,1.0
2020-09-20,31.0,21.0,5.0,1.0,1.0
2020-09-19,35.0,22.0,7.0,1.0,1.0
2020-09-18,36.0,20.0,6.0,1.0,1.0
2020-09-17,35.0,33.0,11.0,1.0,1.0
2020-09-16,33.0,25.0,9.0,1.0,1.0
2020-09-15,28.0,18.0,11.0,1.0,1.0
2020-09-14,37.0,22.0,8.0,1.0,1.0
2020-09-13,31.0,24.0,6.0,1.0,1.0
2020-09-12,24.0,18.0,4.0,1.0,1.0
2020-09-11,33.0,14.0,6.0,1.0,1.0
2020-09-10,47.0,13.0,7.0,1.0,1.0
2020-09-09,41.0,28.0,9.0,1.0,1.0
2020-09-08,39.0,32.0,9.0,1.0,1.0
2020-09-07,48.0,28.0,5.0,1.0,1.0
2020-09-06,34.0,34.0,7.0,1.0,2.0
2020-09-05,36.0,26.0,8.0,1.0,1.0
2020-09-04,36.0,30.0,11.0,1.0,1.0
2020-09-03,28.0,16.0,11.0,1.0,2.0
2020-09-02,32.0,16.0,7.0,1.0,1.0
2020-09-01,38.0,20.0,6.0,1.0,1.0
2020-08-31,24.0,23.0,8.0,1.0,1.0
2020-08-30,40.0,22.0,4.0,1.0,1.0
2020-08-29,40.0,23.0,6.0,1.0,2.0
2020-08-28,38.0,23.0,12.0,1.0,3.0
2020-08-27,28.0,14.0,14.0,1.0,2.0
2020-08-26,46.0,25.0,9.0,1.0,1.0
2020-08-25,45.0,36.0,9.0,1.0,1.0
2020-08-24,48.0,38.0,11.0,1.0,2.0
2020-08-23,50.0,38.0,8.0,1.0,2.0
2020-08-22,51.0,39.0,11.0,1.0,3.0
2020-08-21,37.0,51.0,10.0,1.0,2.0
2020-08-20,43.0,22.0,10.0,1.0,1.0
2020-08-19,33.0,22.0,13.0,1.0,2.0
2020-08-18,31.0,31.0,9.0,1.0,1.0
2020-08-17,41.0,23.0,4.0,1.0,1.0
2020-08-16,50.0,17.0,3.0,1.0,1.0
2020-08-15,54.0,17.0,3.0,1.0,1.0
2020-08-14,46.0,24.0,9.0,1.0,2.0
2020-08-13,48.0,31.0,10.0,1.0,2.0
2020-08-12,59.0,37.0,11.0,1.0,1.0
2020-08-11,50.0,53.0,9.0,1.0,2.0
2020-08-10,41.0,44.0,9.0,1.0,2.0
2020-08-09,42.0,37.0,3.0,1.0,1.0
2020-08-08,46.0,34.0,8.0,1.0,1.0
2020-08-07,45.0,25.0,13.0,1.0,1.0
2020-08-06,41.0,37.0,12.0,1.0,1.0
2020-08-05,47.0,42.0,8.0,1.0,1.0
2020-08-04,43.0,28.0,8.0,1.0,1.0
